Employee ID    Sales Total   Bonus Total
****************************************
1554              45328.71       2266.44
1555              29420.80       1471.04
1856              33639.82       1681.99
1864              31315.13       1565.76
1855              32345.27       1617.26
1255              39611.99       1980.60
1876              36858.17       1842.91
1566              26624.91       1331.25
1224              36044.08       1802.20
1826              26011.29       1300.56
1229              30843.97       1542.20
1854              34457.16       1722.86
1847              37564.66       1878.23
1544              33649.36       1682.47
1267              30867.85       1543.39
1556              30707.12       1535.36
1279              24934.63       1246.73
1877              42215.45       2110.77
1874              25400.46       1270.02
1539              35915.02       1795.75
1537              33065.04       1653.25
1244              41954.95       2097.75
1245              39840.78       1992.04
1549              35611.72       1780.59
1525              37584.49       1879.22
1836              32295.11       1614.76
1835              29203.48       1460.17
1577              38862.80       1943.14
1257              35423.10       1771.16
1278              42649.33       2132.47
1857              37731.06       1886.55
1868              37571.47       1878.57
1247              38266.84       1913.34
1269              24099.37       1204.97
1259              35807.71       1790.39
1866              38095.14       1904.76
1264              37790.14       1889.51
1828              31606.34       1580.32
1825              32217.46       1610.87
1545              36376.48       1818.82
1227              37312.20       1865.61
1869              32165.20       1608.26
1527              34058.87       1702.94
1248              40483.93       2024.20
1845              34458.45       1722.92
1524              44317.69       2215.88
1529              33221.70       1661.09
1564              39842.94       1992.15
1249              39080.62       1954.03
1569              33472.55       1673.63
1237              37774.93       1888.75
1547              33158.75       1657.94
1859              34004.30       1700.22
1559              43413.20       2170.66
1875              35390.75       1769.54
1228              25741.41       1287.07
1568              36641.45       1832.07
1266              32971.11       1648.56
1276              44344.33       2217.22
1865              30112.67       1505.63
1236              25901.14       1295.06
1258              38043.03       1902.15
1878              34166.76       1708.34
1574              26122.43       1306.12
1839              35052.38       1752.62
1858              32695.74       1634.79
1567              35817.24       1790.86
1848              30727.25       1536.36
1538              36368.51       1818.43
1256              39343.56       1967.18
1536              34428.99       1721.45
1226              40970.69       2048.53
1579              33302.52       1665.13
1849              40675.21       2033.76
1824              32149.35       1607.47
1235              26500.39       1325.02
1557              34989.48       1749.47
1838              43870.76       2193.54
1239              26061.27       1303.06
1558              33879.22       1693.96
1829              32389.66       1619.48
1834              29604.63       1480.23
1526              32840.32       1642.02
1275              26619.75       1330.99
1534              34911.72       1745.59
1548              42625.28       2131.26
1528              22537.27       1126.86
1535              28607.98       1430.40
1844              33474.82       1673.74
1546              41731.99       2086.60
1234              32333.87       1616.69
1827              23013.26       1150.66
1265              33231.78       1661.59
1575              32214.63       1610.73
1274              27150.49       1357.52
1268              41330.50       2066.53
1578              28016.62       1400.83
1246              27935.48       1396.77
1277              31103.97       1555.20
1238              33944.14       1697.21
1225              25338.26       1266.91
1867              28916.19       1445.81
1837              36317.24       1815.86
1846              43610.21       2180.51
1254              34344.60       1717.23
1879              38900.61       1945.03
1576              23734.17       1186.71
1565              31964.88       1598.24
****************************************
Number of Employees: 108
Sales Total: 3681585.95
Bonus Total: 184079.30
